"","x"
"954","Hillary Suicide? Soros Death Deal (Clinton To Vanish)! https://t.co/V9ksL28hoE via @YouTube"
"955","RT @NotJoshEarnest: ""Hillary Clinton never interrupted Donald Trump""

Fact-Check: TRUE! But that's because Lester Holt did it for her"
"956","RT @aravosis: Hillary Clinton right now: ""Anybody who complains about the microphone is not having a good night."" #msnbc #debates https://t"
"957","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"958","RT @Evan_McMullin: Last night's debate made clear: Neither Hillary Clinton nor Donald Trump deserves to lead America. https://t.co/VCD3PZ92"
"959","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"960","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"961","RT @sgtbetsysmith: Bill Clinton coerced an intern to perform oral sex, lied abt it & Hillary publicly shamed HER. But Miss Universe Alicia"
"962","Who Won Presidential Debate 2016? Experts Weigh In on Hillary Clinton vs Donald Trump: https://t.co/QR2sRNdJ0b via @YouTube"
"963","RT @jphillippo78: #CNNRealityCheck: Clinton said Trump called climate change a hoax created by the... https://t.co/rh9KKCU7Fj by @CNN via"
"964","RT @wikileaks: In self-selecting world internet vote Trump leads Clinton almost everywhere except Saudi, Iran, Ukriane & Mexico https://t.c"
"965","Hillary Clinton Brings Out the Real Donald Trump https://t.co/5YtQwaOk0A via @JohnCassidy"
"966","RT @Thomas1774Paine: BUSTED: Script of #LesterHolts Plan to Rig Debate for #HillaryClinton Leaked 28 Days Ago #debatenight #Trump RT https"
"967","RT @cspan: .@HillaryClinton campaigns in Raleigh, NC  LIVE on C-SPAN2 https://t.co/4BiNG1lZ7w https://t.co/V7WpaLy9ci"
"968","RT @GulfDogs: 5 Times Lester Holt Shilled for Hillary Clinton at First Debatehttps://t.co/7WT92zCSZp #CCOT#MAGA#PJNET#TCOT"
"969","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"970","RT @Shleifer85: Democratic presidential nominee Hillary Clinton has joined the people urging Charlotte, North Carolina, police to release t"
"971","RT @kansascityfish: Clinton delivers in first debate @CNNPolitics https://t.co/aDIwj9qiqB"
"972","RT @BAMAPERRY: .Exact Script of Lester Holts Plan to Rig Presidential Debate for Hillary Clinton Leaked 28 Days Ago to True Pundit https:/"
"973","Hillary Clinton rallies in Raleigh, NC the day after the debate https://t.co/pvWndH0zlK"
"974","RT @Always_Trump: Sources say Hillary had debate questions WEEK before debate. @NBC intern seen delivering package to office #TrumpWon http"
"975","RT @2ALAW: This Photo Was Taken From Last Night's Presidential Debate. WTH Is That Under Hillary Clinton's Pant Suit?

#debatenight 
#debat"
"976","RT @chescaleigh: ""I'm not a Hillary Clinton fan, but as a woman I'm so angry for her"" #debatenight via https://t.co/ePzjbNXhtV https://t.co"
"977","RT @tyleroakley: ALL POLITICS ASIDE!!
hillary clinton is adorable https://t.co/EDzhHerw2u"
"978","RT @slone: TRUMP IS RIGHT AS USUAL & VOTERS KNOW IT: Trump has argued that the debates are rigged and the moderators biased https://t.co/YY"
"979","RT @realDonaldTrump: Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr"
"980","RT @March_for_Life: U.S. abortion law as it stands is already out of sync w/ a typical Americans views on life- @GChristiemd https://t.c"
"981","RT @HillaryClinton: Hillary was the winner of the first presidential debateand newspapers across America agree. #SheWon https://t.co/jaxTd"
"982","Hillary Clinton was deemed the winner of Monday nights debate by 62% of voters who tuned in to watch, while just... https://t.co/miDA6RJd7Y"
"983","RT @immigrant4trump: CNN poll 26% were Republicans, 41% Democrat?? CNN was ready to say  Hillary Clinton won no matter what. This is desper"
"984","RT @USAforTrump2016: It's obvious that Lester Holt was in the corner of Hillary Clinton! We must vote Donald Trump! Clear corruption! https"
"985","RT @InGodIDoTrust: This has been negotiated. So Hillary is free to pontificate without being called on her verbal nonsense, https://t.co/Xe"
"986","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"987","@EjmAlrai Briefly help Hillary Clinton's ratings maybe?"
"988","RT @charliekirk11: Hillary Clinton called millions of Americans ""deplorable""

Yet media about something Trump said 35 years ago"
"989","Hillary Clinton holds a rally in Raleigh, North Carolina https://t.co/PsKnvl6dFm  Actually you said not much other than your scripted crap!"
"990","RT @chadstanton: Hillary Clintons Pitch to End Private Prisons Is the Surprise Hit of the Presidential Debate https://t.co/inMkBDe0fy via"
"991","TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/o44r5tsdwr"
"992","RT @MissLizzyNJ: Hillary Clinton says she didn't refer to the TPP as the gold standard in trade. 

Fact Check: False 
#DebateNight https:"
"993","RT @wordstionary: Every moment wasted looking back, keeps us from moving forward. - Hillary Clinton"
"994","RT @RaleighReporter: Hillary Clinton's Raleigh event already at fire marshall capacity. I barely got inside. #ncpol"
"995","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"996","RT @realDonaldTrump: Hillary Clinton failed all over the world. 
LIBYA
SYRIA
IRAN
IRAQ
ASIA PIVOT
RUSSIAN RESET
BENGHAZI
#DebateNigh"
"997","RT @TwitchyTeam: BUSTED: Eric Bolling calls out Lester Holt for THIS blatant Hillary Clinton debate bias https://t.co/qKH2YoAUah"
"998","RT @PolitiFact: LIVE FACT-CHECK: Clinton mostly right on Trump climate change hoax line. https://t.co/yNm7MTLbV1 https://t.co/hmwTo21WVN"
"999","BREAKING : Associated Press Agree Hillary Clinton Lied on Her TPP Stance and Trump Was Right https://t.co/sTyV92xLqL"
"1000","RT @2ALAW: This Photo Was Taken From Last Night's Presidential Debate. WTH Is That Under Hillary Clinton's Pant Suit?

#debatenight 
#debat"
"1001","Gay AppStore Says: How Many Times Was Clinton Manterrupted During the Debate?: If it seemed like Donald Trump... https://t.co/BLVydK4UoQ"
"1002","RT @shaymitcharg: rt sasha for president like for donald trump https://t.co/2ZypHcHmYS"
"1003","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1004","RT @TheFinalCall: Hillary Clinton and Donald Trump: Which one is worse: Lucifer, Satan, or The Devil? [WATCH] https://t.co/MF1xa5tG1v https"
"1005","RT @susandominus: Most subversive, feminist moment of debate: Hillary Clinton essentially calling Trump crazy. My take: https://t.co/xa7PM5"
"1006","RT @Ietitbey: Tinashe dancing to ""Fuck Donald Trump"" https://t.co/FejRyzPlaI"
"1007","RT @WeNeedTrump: If you poll the debate polls, Donald Trump absolutely annihilated Crooked Hillary last night in the debate. https://t.co/L"
"1008","RT @PolitiFact: Trump says top Clinton advisers ""were pressing"" birther movement stories ""very hard."" False. https://t.co/GB8gSpCujT https:"
"1009","RT @nadine_elsayed: When you photoshop Donald Trump's lips onto his eyes he literally looks exactly the same #debatenight https://t.co/XyEB"
"1010","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1011","https://t.co/SLcuT4FaU1 In Which Donald Trump Boasts About ""Winning"" Meaningless Internet Polls #allPolitics"
"1012","Donald Trump has a new plan for all Americans. Americas future is at https://t.co/BoaUa9gsJY for a man that's for all class of people."
"1013","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1014","RT @themuslimvibe: Why Donald Trump should be the next president https://t.co/6tC86kkb5U https://t.co/0pNaKyh5XE"
"1015","RT @FoxNewsInsider: .@MeghanMcCain: 'So Stupid' for Trump to Talk About Weight Gain by Former Miss Universe #debatenight https://t.co/9pRXg"
"1016","RT @Abhussein_: I'd rather vote for Donald trump than Hilary Clinton. I don't trust a white person who's a hypocrite and a liar, at least t"
"1017","RT @CNN: ""You're wrong, you're wrong."" Trump had a lot to say on #DebateNight, a lot of it while Clinton was speaking https://t.co/N3YKsiUD"
"1018","RT @BullHunitProof: bitch we don't really like yo lying ass either we just don't like Donald Trump even more https://t.co/II6M49Ec9I"
"1019","RT @realDonaldTrump: Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd"
"1020","Donald Trump drops the bawl: Stepping down from the stage after debating Hillary Clinton Monday night, Donald... https://t.co/KYOpyGLWbp"
"1021","Donald Trump was more nervous at the debate than Hillary Clinton, says pyschotherapist https://t.co/iPBxGJ07Jk"
"1022","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1023","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1024","RT @chancetherapper: Dear God, the words law & order shouldn't strike so much fear in my heart as a law abiding citizen but I am so damn sc"
"1025","RT @EduSamani: Obama tears Donald Trump in 40 seconds. 
#DebateNight #Debates2016 https://t.co/kjPW0utA62"
"1026","RT @thenation: ""The very physiology of deep laughter in response to humor signals vulnerability."" https://t.co/1Ft7EXBbGu"
"1027","RT @girlposts: donald trump: I didn't say that 

the internet: https://t.co/LROTcim5sj"
"1028","RT @RoflGandhi_: So Donald Trump has promised that his 'leadership' would bring back USA's 5 trillion dollars from foreign lands. Kind of D"
"1029","RT @AP: Mike Pence breaks with Donald Trump, says human activity affects both the climate and the environment. https://t.co/KDTRlBMRGM @sba"
"1030","#Trump #unprepared for #debate. #DumpTrump
Analysis: Clinton studies up for debate, and it pays off https://t.co/B0bg8iFlI2 via @nbcnews"
"1031","Consensus: Clinton wins debate  but Trump is far from finished https://t.co/ZEoIreCUZX"
"1032","RT @EduSamani: Obama tears Donald Trump in 40 seconds. 
#DebateNight #Debates2016 https://t.co/kjPW0utA62"
"1033","RT @immigrant4trump: Donald Trump WON the debate in ALL the polls (Time, the hill, fox, CBS) #Debates2016 #DebateNight #Debates #Trump2016"
"1034","RT @EduSamani: Obama tears Donald Trump in 40 seconds. 
#DebateNight #Debates2016 https://t.co/kjPW0utA62"
"1035","RT @ESQPolitics: Hillary Clinton won because Donald Trump is a sham https://t.co/8F0b2fLkWJ https://t.co/3QAIaX5HHb"
"1036","RT @alexmassie: It wasn't Trump vs Clinton last night. It was Donald Trump vs Himself. And Trump lost. https://t.co/ZzNXkf5V00 https://t.co"
"1037","RT @NBCNews: Russian newspapers call debate a win for Clinton https://t.co/b2iWR2PXD4 https://t.co/d0BoZ9EY95"
"1038","RT @susandominus: Most subversive, feminist moment of debate: Hillary Clinton essentially calling Trump crazy. My take: https://t.co/xa7PM5"
"1039","@Women4Trump can't list all in a few characters.  Read The Making of Donald Trump. Or the nyt or wp or time mag. Get more informed."
"1040","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1041","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1042","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1043","RT @BuzzFeedNews: Clinton: ""Donald thinks [climate change is] a hoax perpetuated by the Chinese""

Trump: ""I did not say that

2012 tweet:"
"1044","""Granny"" vs. ""Bastard"" https://t.co/8d4jdklKsC #China #PresidentialDebate"
"1045","RT @TIME: ""Donald Trump is wrongAmerica is safer today than it has been in decades"" https://t.co/f45ixjHA2t"
"1046","RT @SniffOutStocks: Breaking: New York Daily News calls for Donald Trump to end his presidential campaign: The front page of Wedn... https:"
"1047","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1048","RT @TEN_GOP: Donald Trump was never called a racist in 68 years until he opposed Hillary Clinton for president!

#debatenight #Debates2016"
"1049","Donald Trump drops the bawl: Stepping down from the stage after debating Hillary Clinton Monday night, Donald... https://t.co/yJiu2YzPAj"
"1050","RT @CNN: Donald Trump: ""I'm smart"" for not paying taxes https://t.co/VHd3Ln1nRA #DebateNight https://t.co/fO7iptHdKg"
"1051","SFL4Hillary: RT CapehartJ: Donald Trumps performance was the rhetorical equivalent of hurling garbage on the lawn. https://t.co/3epVw9yZwk"
"1052","RT @nora_kelly: Great point from @priscialva: Where was The Wall in last night's debate? https://t.co/BbVE0vGPRv"
"1053","RT @Dory: Donald Trump when he hasn't mentioned Mexico or Isis in 2 minutes https://t.co/Z1DJAig2L8"
"1054","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1055","RT @realDonaldTrump: Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd"
"1056","RT @ddale8: Donald Trump just denied that he calls climate change a Chinese hoax. His own tweet: https://t.co/KKPjyrWGDS"
"1057","RT @slone: HOLT: THE 3RD DEBATER: Arguing with Donald Trump is Hillary Clinton's job, not Lester Holt's. https://t.co/EYkymmAQX9"
"1058","Donald Trump thinks politics is business, and business is theft: https://t.co/zdmeVDexTz #StopRush #UniteBlue #p2 #ConnectTheLeft"
"1059","RT @HAGOODMANAUTHOR: https://t.co/SHTwqWJjHv Online Polls Show Donald Trump Defeated Hillary Clinton in Presidential Debate. Just Like Bern"
"1060","Judge Jeanine Pirro - One-On-One With Donald Trump https://t.co/wVwaTcZD6J via @YouTube"
"1061","RT @MADmagazine: Donald Trumps Debate-Inspired Campaign Poster
https://t.co/FMFKCYs7SC https://t.co/ZAVjgnS08O"
"1062","RT @DailyNewsBin: #sniff First debate: Hillary Clinton remains composed as Donald Trump whines, sniffles, calls Lester Holt a liar https://"
"1063","Donald Trump drops the bawl: Stepping down from the stage after debating Hillary Clinton Monday night, Donald... https://t.co/lZpNlhBWua"
"1064","Donald Trumps first presidential debate confirmed he has no idea what hes talking about https://t.co/HeIUxfRc6f via @voxdotcom"
"1065","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1066","RT @chancetherapper: Dear God, the words law & order shouldn't strike so much fear in my heart as a law abiding citizen but I am so damn sc"
"1067","Donald Trump's temperament, illustrated: https://t.co/WV43rnJ6pL"
"1068","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1069","""It was a telltale sign of exertion, of a man leaking energy rather than gaining it from his cheering crowds"" https://t.co/uiQBM6uQr9"
"1070","RT @washingtonpost: Mark Cuban slams Donald Trump: Not paying taxes is greedy, not ""smart"" https://t.co/3pF7P46Eff"
"1071","RT @JoeBiden: Tonight, @HillaryClinton proved she is ready to be President  and Donald Trump proved he is not. #debatenight https://t.co/Z"
"1072","RT @CNN: At last night's debate, Hillary Clinton gave a shoulder shimmy after Donald Trump questioned her temperament https://t.co/uTepm1jr"
"1073","RT @nowthisnews: Fact check: Every time Donald Trump said ""I didn't say that,"" he actually did say that. https://t.co/3cmJXed65J"
"1074","RT @NYDailyNews: JUST STAY HOME, DONALD! Rudy Giuliani says Trump should skip the remaining two presidential debates https://t.co/dAjvekxnL"
"1075","Actually read Donald Trump as the anti-war candidate last night. What was up with that? #debates #Debates2016 https://t.co/IiJMrXWDr2"
"1076","RT @nadine_elsayed: When you photoshop Donald Trump's lips onto his eyes he literally looks exactly the same #debatenight https://t.co/XyEB"
"1077","RT @siaayrom: About a year ago, Trump boasted that defeating Hillary would be the easiest challenge of my life.
https://t.co/6fMvcqGzcZ v"
"1078","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1079","RT @TheAtlantic: Donald Trump gets caught tweet-handed: https://t.co/J2dsXMjBy2 https://t.co/FPYaxlByiP"
"1080","RT @contxnt: donald trump: I didn't say that 

the internet: https://t.co/S1A8r7XG5T"
"1081","RT @nowthisnews: Fact check: Every time Donald Trump said ""I didn't say that,"" he actually did say that. https://t.co/3cmJXed65J"
"1082","RT @HillaryClinton: ""I never said that."" Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
"1083","Two bomb attacks take place in Dresden, Germany https://t.co/3Ic01PWVGx for Donald Trump !"
"1084","Debate Night Reaction Donald Trump: https://t.co/Ec0BrH2c8V via @YouTube"
"1085","RT @CNNPolitics: #Breaking: President Obama says the debate showed Donald Trump doesn't have the ""preparation"" or ""temperament"" https://t.c"
"1086","RT @TIME: Donald Trump does not believe in man-made climate change, campaign manager says https://t.co/KLgdu1mMaV"
"1087","Donald Trump might have property all over the world, but does he have broads in Atlanta?"
"1088","RT @cyvault: Donald Trump Would Win Election Today Based on Current Polling

#TrumpWon #TuesdayMotivation https://t.co/ch3XhlVH1G"
"1089","Donald Trump drops the bawl: Stepping down from the stage after debating Hillary Clinton Monday night, Donald... https://t.co/erzrzQPobZ"
"1090","RT @AP: Mike Pence breaks with Donald Trump, says human activity affects both the climate and the environment. https://t.co/KDTRlBMRGM @sba"
"1091","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1092","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1093","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1094","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1095","RT @MEPFuller: Didn't think Donald Trump fat shaming a teen would be an issue after the first presidential debate but here we are. https://"
"1096","RT @ComedyCentral: Whats the difference between fact-checking Hillary Clinton and fact-checking Donald Trump? #DailyShow
https://t.co/tSkJ"
"1097","RT @HillaryClinton: ""I never said that."" Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
"1098","RT @ChuckTingle: SHOCKED that donald trump did not claim website https://t.co/v4ZjfqVdTp This is now comprehensive guide to his devilman de"
"1099","RT @nytimes: The Donald Trump on display during the debate Monday night was one we rarely glimpse https://t.co/Jaf2SgD0WY"
"1100","RT @SeanMcElwee: holy shit. https://t.co/BszGszHZ5J https://t.co/WVErdC9lcP"
"1101","RT @TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/ewerrcCY1I"
"1102","RT @HillaryClinton: ""I never said that."" Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
"1103","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1104","RT @Salon: Trump's debate with Hillary was a crash course in everyday sexism https://t.co/VmiqDFOX72 https://t.co/GsQCqFv1Ib"
"1105","@lilryblood09 so u gonna vote for donald trump?"
"1106","RT @kurteichenwald: Sniffing, drinking water, losing train of thought now up at 2.30 am scouring the Internet. What's going on with Donald"
"1107","RT @mianelsonn: Hillary Clinton is a fake friend and Donald trump is your honest friend who will tell you ur mascara is clumpy"
"1108","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"1109","I spent the debate trying to figure out how it came to be that I was watching Donald Trump take part in a president https://t.co/nmRXl3aErQ"
"1110","Hilary and Donald trump so ugly they look so wrinkled"
"1111","RT @ScottPresler: 50 former Bush appointees endorse @realDonaldTrump. Everyone is coming around, since #TrumpWon 

https://t.co/6DdT7IPYxr"
"1112","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1113","WSJ: GOP strategists say Donald Trumps debate performance likely failed to shore up support with suburban women https://t.co/VmnqRDMCXG "
"1114","RT @nadine_elsayed: When you photoshop Donald Trump's lips onto his eyes he literally looks exactly the same #debatenight https://t.co/XyEB"
"1115","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1116","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1117","RT @NoahCRothman: When Trump melted down, it wasn't over issues or Clinton; it was when the myths of his own making were challenged. https:"
"1118","RT @nowthisnews: Fact check: Every time Donald Trump said ""I didn't say that,"" he actually did say that. https://t.co/3cmJXed65J"
"1119","RT @Shakestweetz: RT if you were happy to see Donald Trump demolished in the debate last night, and POSITIVELY GIDDY to see him demolished"
"1120","RT @WesleyLowery: Donald Trump just said he did black Americans a favor by questioning the legitimacy of the 1st black president. 
This hap"
"1121","RT @jasonsfolly: Very disturbed that my patronus turns out to be...
Donald Trump's hair.
Not happy.
#WhyMe?
#WhatDoIFeedIt?
@jkrowling
@Har"
"1122","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1123","RT @HillaryClinton: ""I never said that."" Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
"1124","RT @Bywatergal: Trump Doubles Down On Nauseating Miss Universe Attack: 'She Gained A Massive Amount Of Weight' https://t.co/nHJ2HZ0GyR"
"1125","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1126","#XRIM #MONEY : WSJ : GOP strategists say Donald Trumps debate performance likely failed t https://t.co/LMDYOykEDT) https://t.co/g8AJABdAJl"
"1127","RT @musicnews_facts: Madonna got her son David a Donald Trump piñata for his birthday party. https://t.co/4dbfgFvoPn"
"1128","RT @nytimes: The Donald Trump on display during the debate Monday night was one we rarely glimpse https://t.co/Jaf2SgD0WY"
"1129","RT @_Snape_: Donald Trump is a horrible, disgusting, misogynistic human being.

And half of Americans love him.

What is wrong with you peo"
"1130","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1131","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1132","RT @thedailybeast: Trump's online trolls turn on ""Daddy"": https://t.co/sYRVuREbaP https://t.co/conSfZP0SR"
"1133","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1134","RT @coton_luver: Ouch! Zach Galifianakis explains why he would NEVER invite Donald Trump to be 'Between Two Ferns' guest https://t.co/fvpMP"
"1135","RT @EduSamani: Obama tears Donald Trump in 40 seconds. 
#DebateNight #Debates2016 https://t.co/kjPW0utA62"
"1136","RT @JoshMalina: #Debate2016 Ladies and gentleman, Donald J. Trump! https://t.co/nwE3sq59oq"
"1137","RT @Ietitbey: Tinashe dancing to ""Fuck Donald Trump"" https://t.co/FejRyzPlaI"
"1138","RT @USAforTrump2016: Donald Trump is the LAW and ORDER candidate! #TrumpWon

If you see this, share it! #Trump2016 https://t.co/728mpBukjb"
"1139","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1140","RT @toddstarnes: Lester Holt should've moderated -- instead of auditioning to be Hillary's press secretary. https://t.co/wQgREDI53C #debate"
"1141","RT @cyvault: Donald Trump Would Win Election Today Based on Current Polling

#TrumpWon #TuesdayMotivation https://t.co/ch3XhlVH1G"
"1142","More Jobs, More Money, More Opportunity | Donald J. Trump for President https://t.co/xp93dF94M2 via @YouTube"
"1143","RT @LindaSuhler: Donald J Trump Rally TODAY #Florida
Melbourne, FL
7 PM ET
#TrumpPence16 #MAGA #Jobs #AmericaFirst #Economy
https://t."
"1144","RT @attn: Donald Trump just deleted this tweet to hide a lie he told at the debate. https://t.co/ZQVpTlkxBb https://t.co/5mtPpzSdWm"
"1145","RT @HillaryClinton: ""I never said that."" Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
"1146","Cruz Trying To Get Into Trump's Ear Offering To Help With Debate Prep Is A Way To Convince Him Of Certain Policies! https://t.co/9xwSa2vbrM"
"1147","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1148","Donald Trump said 34 false things at first presidential debate | Toronto Star/International view. Interesting. https://t.co/NLc0xFyROu"
"1149","RT @chancetherapper: Dear God, the words law & order shouldn't strike so much fear in my heart as a law abiding citizen but I am so damn sc"
"1150","RT @THR: Trump on Alicia Machado: ""She was the worst"" but Hillary acts like she's ""Mother Teresa"" https://t.co/LanrgQ4caz https://t.co/VfhY"
"1151","#occupywomen Wow,it really is a #race2theBottom w/ @realDonaldTrump . Body shaming women now?  #Fail #Election2016  https://t.co/CX7rrQzvYL"
"1152","RT @CommonWhiteGrls: donald trump: I didn't say that 

the internet: https://t.co/T1KUytLKEP"
"1153","RT @memeprovider: donald trump: I didn't say that 

the internet: https://t.co/TP6Y5b1fDe"
"1154","RT @troytheblackguy: Donald Trump answers questions like how I type essays when I can't think of shit but have 3 more pages to go"
"1155","https://t.co/Ei4mmp19JM

Shared by #BreitbartReaderforAndroid: https://t.co/boRvMrEP71 late but a little late but welcome"
"1156","RT @nadine_elsayed: When you photoshop Donald Trump's lips onto his eyes he literally looks exactly the same #debatenight https://t.co/XyEB"
"1157","RT @TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/ewerrcCY1I"
"1158","RT @meanpIastic: donald trump: I didn't say that 

the internet: https://t.co/vKpBksMEUG"
"1159","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1160","RT @_MariTaylor: I still can't believe that Donald Trump.. A reality tv show star.. Is an option for presidency"
"1161","RT @HillaryClinton: Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0w"
"1162","RT @TBCJay: As I scrolled through the tweets I found out that Donald Trump was winning@TBCJay https://t.co/oMHZDheEda https://t.co/yp"
"1163","RT @HillaryClinton: When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu"
"1164","RT @Shakestweetz: RT if you were happy to see Donald Trump demolished in the debate last night, and POSITIVELY GIDDY to see him demolished"
"1165","RT @goldengateblond: ""We have to stop Mexico from stealing our jobs."" -- Donald Trump #debatenight https://t.co/duEDWaqFCV"
"1166","RT @slack2thefuture: I wrote Law & Order.  The only role Donald Trump could have in Law & Order is as a rich bastard suspected of killing h"
"1167","RT @aidan: donald trump: be yourself 

yeah unless ur trans, mexican, muslim, lesbian/gay, black, or a woman, right"
"1168","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1169","RT @FactsAboutNM: Every time Donald Trump said ""I didn't say that,"" he actually did say that. #TrumpWon https://t.co/yOxpjtdUtw"
"1170","RT @jennaezarik: What I see when I look at Donald Trump https://t.co/6m8GBhXE3F"
"1171","@SamSeder @_michaelbrooks Donald Trump. Rich kid. Sniffs a lot. Any chance he's not done lines?"
"1172","RT @michaelcdeibert: Sounds like little baby @realDonaldTrump lost his rattle: Morning After the Debate, #Trump Goes on the Attack https://"
"1173","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1174","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"1175","RT @MEPFuller: Didn't think Donald Trump fat shaming a teen would be an issue after the first presidential debate but here we are. https://"
"1176","The most important and undercovered moments in last night's debates were about -- of all things -- housing. Read >> https://t.co/8eUaZkZkKV"
"1177","But the majority of you that tweet ""fuck Donald trump"" won't even get out to vote on Election Day, so I don't really care."
"1178","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1179","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"1180","RT @RealMuckmaker: Howard Dean Suggested Donald Trump Took Cocaine Before The Debate https://t.co/fUhXLBRZ79 via @claudiakoerner @buzzfeedn"
"1181","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1182","RT @NYDailyNews: JUST STAY HOME, DONALD! Rudy Giuliani says Trump should skip the remaining two presidential debates https://t.co/dAjvekxnL"
"1183","RT @MattHuff23: If I was 'The President', I would build a giant wall around Donald Trump and make him pay for it!"
"1184","RT @seinfeId: donald trump: I didn't say that 

the internet: https://t.co/WrTHriXLgV"
"1185","RT @HillaryClinton: ""I never said that."" Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
"1186","RT @NotJoshEarnest: ""Hillary Clinton never interrupted Donald Trump""

Fact-Check: TRUE! But that's because Lester Holt did it for her"
"1187","RT @BernieSanders: I don't know if it's a world record but Donald Trump has been sued more than 3,500 times over the past 30 years. #Debate"
"1188","RT @frontlinepbs: Ahead of #TheChoicePBS, explore moments that capture the kinds of leaders Donald Trump & Hillary Clinton may become https"
"1189","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
